dataset	cancer type	gene1	gene2	SMG1	SMG2	co/me	cooc	me1	me2	none	test	p (min)	p (max)	fdr (min)	fdr (max)	conf score	reported previously
dkfz	HGG-K27M	ACVR1	H3F3A	TRUE	TRUE	me	2	10	39	3	both	0	3.00E-06	0	0	1	
dkfz	HGG-K27M	ACVR1	HIST1H3B	TRUE	TRUE	co	9	3	2	40	both	0	2.00E-05	0	0	1	*
dkfz	HGG-K27M	ACVR1	TP53	TRUE	TRUE	me	2	10	25	17	both	0.00283	0.010651989	0.002222222	0.013333333	1	
dkfz	HGG-K27M	H3F3A	HIST1H3B	TRUE	TRUE	me	0	41	11	2	both	0	1.00E-06	0	0	1	
dkfz	HGG-other	ATRX	H3F3A	TRUE	TRUE	co	5	1	3	34	both	0.000892999	0.00312	0.016666667	0.023333333	1	*
dkfz	MB-SHH	KMT2D	PTCH1	TRUE	TRUE	me	0	4	14	18	both	0.0577	0.072668927	0.06	0.113333333	1	
dkfz	MB-SHH	PTCH1	SMO	TRUE	TRUE	me	0	14	4	18	both	0.0577	0.072282928	0.06	0.113333333	1	
dkfz	MB-WNT	DDX3X	KMT2D	TRUE	TRUE	co	3	4	1	13	perm	0.099390901	0.099390901	0.198235294	0.198235294	1	
dkfz	PAN	ACVR1	H3F3A	TRUE	TRUE	me	2	12	49	736	both	0	1.00E-06	0	0	1	
dkfz	PAN	ACVR1	HIST1H3B	TRUE	TRUE	co	9	5	4	781	both	1.40E-05	3.20E-05	0.003333333	0.02	1	*
dkfz	PAN	ACVR1	TP53	TRUE	TRUE	me	2	12	77	708	both	0.000632	0.001880998	0	0.003333333	1	
dkfz	PAN	ATRX	H3F3A	TRUE	TRUE	co	12	15	39	733	both	0.000294	0.000772	0.006666667	0.198	1	*
dkfz	PAN	H3F3A	HIST1H3B	TRUE	TRUE	me	0	51	13	735	both	0	1.00E-06	0	0	1	
dkfz	PAN	HIST1H3B	TP53	TRUE	TRUE	me	3	10	76	740	wesme	0.0209	0.0242	0.082	0.131333333	1	
dkfz	PAN	HLA-A	PCDHA8	FALSE	FALSE	co	3	7	3	786	both	0.000174	0.000299	0.105833333	0.1375	1	
